stock_name,stock_id,market_capitalization,sector
Reliance Industries,RELIANCE,large_cap,energy
HDFC Bank,HDFCBANK,large_cap,banking and finance
Bharti Airtel,BHARTIARTL,large_cap,telecommunication
Tata Consultancy Services,TCS,large_cap,information technology
ICICI Bank,ICICIBANK,large_cap,banking and finance
State Bank of India,SBIN,large_cap,banking and finance
Bajaj Finance,BAJFINANCE,large_cap,banking and finance
Infosys,INFY,large_cap,information technology
Hindustan Unilever,HINDUNILVR,large_cap,fmcg
Life Insurance Corp of India,LICI,large_cap,banking and finance
Larsen & Toubro,LT,large_cap,infrastructure
Maruti Suzuki India,MARUTI,large_cap,auto
ITC Ltd,ITC,large_cap,information technology
Mahindra & Mahindra,M&M,large_cap,auto
Kotak Mahindra Bank,KOTAKBANK,large_cap,banking and finance
HCL Technologies,HCLTECH,large_cap,information technology
Sun Pharmaceutical Industries,SUNPHARMA,large_cap,Healthcare
Axis Bank,AXISBANK,large_cap,banking and finance
Titan Company,TITAN,large_cap,fmcg
Hyundai Motor,HYUNDAI,large_cap,auto
Colgate-Palmoliv,COLPAL,large_cap,fmcg
Nestle India,NESTLEIND,large_cap,fmcg
I R C T C,IRCTC,large_cap,travel
Abbott India,ABBOTINDIA,large_cap,Healthcare
Nippon Life Ind.,NAM-INDIA,large_cap,banking and finance
Astrazeneca Phar,ASTRAZEN,large_cap,Healthcare
Apar Inds.,APARINDS,large_cap,manufacturing
Suzlon Energy,SUZLON,large_cap,energy
Ajanta Pharma,AJANTPHARM,large_cap,Healthcare
Force Motors,FORCEMOT,large_cap,Auto
Sanofi Consumer,SANOFI,mid_cap,Healthcare
Waaree Renewable,WAAREERTL,mid_cap,energy
Jyothy Labs,JYOTHYLAB,mid_cap,fmcg
Oswal Pumps,OSWALPUMPS,mid_cap,manufacturing
Ingersoll-Rand,INGERRAND,mid_cap,manufacturing
Anand Rathi Wealth,ANANDRATHI,mid_cap,banking and finance
Shakti Pumps,SHAKTIPUMP,mid_cap,manufacturing
Castrol India,CASTROLIND,mid_cap,energy
CAMS Services,CAMS,mid_cap,banking and finance
Indian Energy Exchange,IEX,mid_cap,energy
Tata Teleservices Maharashtra,TTML,mid_cap,telecommunication
Jeena Sikho,JSLL,mid_cap,Healthcare
Himadri Special,HSCL,mid_cap,chemicals
P & G Health Ltd,PGHL,mid_cap,Healthcare
Prudent Corp.,PRUDENT,mid_cap,banking and finance
Piramal Enterp.,PEL,mid_cap,banking and finance
Schneider Elect.,SCHNEIDER,mid_cap,energy
Sun TV Network,SUNTV,mid_cap,media and entertainment
Triveni Turbine,TRIVENI,mid_cap,manufacturing
Karur Vysya Bank,KARURVYSYA,mid_cap,banking and finance
Wework India,EMBASSY,mid_cap,Real estate
Welspun Corp,WELCORP,mid_cap,manufacturing
UTI AMC,UTIAMC,mid_cap,banking and finance
Birlasoft Ltd,BSOFT,mid_cap,information technology
Emami,EMAMILTD,mid_cap,fmcg
Tilaknagar Inds.,TI,mid_cap,fmcg
Gabriel India,GABRIEL,mid_cap,manufacturing
Shriram Pistons,SHRIPISTON,mid_cap,auto
Cello World,CELLO,mid_cap,fmcg
R Systems Intl.,RSYSTEMS,small_cap,information technology
Crizac,CRIZAC,small_cap,manufacturing
Entero Healthcar,ENTERO,small_cap,Healthcare
Unimech Aero.,UNIMECH,small_cap,energy
PTC India,PTC,small_cap,energy
Innova Captab,INNOVACAP,small_cap,manufacturing
Sunflag Iron,SUNFLAG,small_cap,manufacturing
Greaves Cotton,GREAVESCOT,small_cap,auto
Central Depository Services Ltd Ltd.,CDSL,small_cap,banking and finance
Websol Energy,WEBELSOLAR,small_cap,energy
VST Till. Tract.,VSTTILLERS,small_cap,agri
J Kumar Infra,JKIL,small_cap,infrastructure
Responsive Ind,RESPONIND,small_cap,manufacturing
Route Mobile,ROUTE,small_cap,information technology
Zen Technologies Ltd,ZENTEC,small_cap,manufacturing
Guj. Ambuja Exp,GAEL,small_cap,food
SJS Enterprises,SJS,small_cap,auto
Trident,TRIDENT,small_cap,manufacturing
Natl.Fertilizer,NFL,small_cap,agri
Gopal Snacks,GOPAL,small_cap,fmcg
GK Energy,GKENERGY,small_cap,energy
Sigma Solve,SIGMA,small_cap,information technology
Advani Hotels.,ADVANIHOTR,small_cap,hotels



